productName,sku,lot,coaUrl,productId,pageUrl
"His6-NEDP1, human recombinant",SBB-DE0025,163060025,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_307a13389f6f424e8557348c45f33820.pdf,d06eee92-2540-7e31-0af4-637d63728ec7,https://www.south-bay-bio.com/product-page/his6-nedp1-human-recombinant
"His6-Poly-Ubiquitinated p53, human recombinant",SBB-US0012,163060012,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_e8a8d41ba85d414fafef68d2e028f633.pdf,662b145d-3cc0-0062-9f71-f606c91abf03,https://www.south-bay-bio.com/product-page/his6-poly-ubiquitinated-p53-human-recombinant
"His6-SARS-CoV (PLpro), SARS Coronavirus recombinant",SBB-DE0024,163060024,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_ad13b9d3f2b94392bb84a58336c59a75.pdf,e4230120-fc64-08ae-9102-ff65b67af1fa,https://www.south-bay-bio.com/product-page/his6-sars-cov-plpro-sars-coronavirus-recombinant
"His6-SENP1, human recombinant",SBB-DE0026,163060022,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fa255b40420f40ceba4f9918a0213489.pdf,a4bb5853-44e0-068f-b645-c9bf7917d08b,https://www.south-bay-bio.com/product-page/his6-senp1-human-recombinant
"His6-UBE2K, human recombinant",SBB-CE0022,163060022,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_49b64efe5eb14522921f21d9e35fc286.pdf,981096df-0524-a32d-ad5b-1da3e409e63f,https://www.south-bay-bio.com/product-page/his6-ube2k-human-recombinant
His8- Avi-DDB1-biotinylated,SBB-SC0140,243120140,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_1516621a715140d69cd4673701f7d91c.pdf,48f4040a-9964-2a9e-9633-86ddb6d412bf,https://www.south-bay-bio.com/product-page/avi-ddb1-biotinylated
ISG15 Rhodamine 110,SBB-PS0002,163060002,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_c6d1c3e8bb0746cb86bb9d8e70485910.pdf,1132127b-e7be-5662-f398-4cf9c9c7642e,https://www.south-bay-bio.com/product-page/isg15-rhodamine-110
ITCH E3 Ligase TR-FRET Kit,SBB-KF0035,172440035,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_a4b7246893ec466ca5488278bd2bf49f.pdf,c6858956-5acc-476d-5a4f-34329ff82f79,https://www.south-bay-bio.com/product-page/itch-e3-ligase-tr-fret-kit
K11 Di-Ubiquitin,SBB-UP0063,181940063,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_dcf8ed91f56947ecb490cd52f3c1ee50.pdf,8098144c-618a-f9db-7234-89988bab4b58,https://www.south-bay-bio.com/product-page/k11-di-ubiquitin
K11 Tetra-Ubiquitin,SBB-UP0064,181940064,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_089f888bcf774d6cbdddc6e8582cc1a0.pdf,51914e5b-ebba-0f0f-9f20-59608d983d56,https://www.south-bay-bio.com/product-page/k11-tetra-ubiquitin
K29 Di-Ubiquitin,SBB-UP0077,181940077,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_d0d479bf8d2b43e9b10b5331c3b45f6a.pdf,3bf70858-f68d-41e4-4891-cc8fbf080886,https://www.south-bay-bio.com/product-page/k29-di-ubiquitin
K29 Tetra-Ubiquitin,SBB-UP0078,181940078,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_3635dac666dc4c3891a8e9629ea0559e.pdf,67d6612a-92a2-368a-6f61-09ca672199f2,https://www.south-bay-bio.com/product-page/k29-tetra-ubiquitin
K33 Di-Ubiquitin,SBB-UP0066,181940066,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fab1bfa5a867455a9665608e59fde4e9.pdf,1cfb5fc3-33b0-05b7-370b-7fa25e3e9513,https://www.south-bay-bio.com/product-page/k33-di-ubiquitin
K33 Tetra-Ubiquitin,SBB-UP0067,181940067,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_161dfc9bc1934e83bb2aefaa4becae24.pdf,7528acba-f6f4-cf80-4f88-a0c1ef978f3b,https://www.south-bay-bio.com/product-page/k33-tetra-ubiquitin
K48 Di-Ubiquitin,SBB-UP0069,181940069,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_3809018219d94a8aa4deb8c361996fdf.pdf,90e6eaf2-f665-c464-d6ce-e5878a946b33,https://www.south-bay-bio.com/product-page/k48-di-ubiquitin
K48 Penta-Ubiquitin,SBB-UP0172,242470172,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_92b432205c5541228c1f0ebd3d87db15.pdf,4d04dc0c-e7a9-d4ec-1f04-136ff4ad7fe5,https://www.south-bay-bio.com/product-page/k48-penta-ubiquitin
