productName,sku,lot,coaUrl
K48 Tri-Ubiquitin,SBB-UP0171,243020171,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_bf5e804c27fe452fb8342797a9f12954.pdf
K6 Di-Ubiquitin,SBB-UP0060,181940060,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_468c956494fd401380b911c316dab114.pdf
K6 Tetra-Ubiquitin,SBB-UP0061,181940064,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_b5e4eb5af9eb4d2399687cba7b17636e.pdf
K63 Di-Ubiquitin,SBB-UP0072,181940072,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_6e261ed812624359b9753b1d5a9e0313.pdf
K63 Tetra-Ubiquitin,SBB-UP0073,181940073,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fed674fd033941b49433f85e2e4d82b4.pdf
M1 Di-Ubiquitin,SBB-UP0075,181940075,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_00235ae2c0dd4a658d8604238130ec8d.pdf
M1 Tetra-Ubiquitin,SBB-UP0119,181940119,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9c2b6d52f4a24a63b1954bfc19e053d9.pdf
MDM2 E3 Ligase TR-FRET Kit,SBB-KF0030,172440030,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fd7f4d3b3f81469dad0a9254c2251d35.pdf
NEDD4 E3 Ligase TR-FRET Kit,SBB-KF0056,173050056,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_16944b738f7e4aa9865fff67c615976f.pdf
NEDD8 Rhodamine 110,SBB-PS0003,163060003,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_2fad52142f96444b9670b59ff382e342.pdf
NEDD8-AMC,SBB-PS0044,172440044,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_17e1af0b7e164f8386160972fb6b74fd.pdf
Parkin (PARK2),SBB-CE0055,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_cea19c68946d4369bf5071efd028646a.pdf
Parkin E3 Ligase TR-FRET Kit,SBB-KF0036,172440036,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9b9ce45b8d544bfd8f9fb79434509069.pdf
Skp1/His6-Skp2,SBB-SC0118-50,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_573549c325a042bc9ee66ae69fcbaf6b.pdf
Skp1/His6-Skp2,SBB-SC0118-50,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_7034d66684d8496eb5c2edece7b7cd45.pdf
Suc-Leu-Leu-Val-Tyr-AMC (LLVY-AMC),SBB-PS0010,163060010,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_5ae014cc51bb45c0849b0387ca8c7e9e.pdf
SUMO1 Rhodamine 110,SBB-PS0028,163060028,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_62176c500e614412919a3d74ae6bee19.pdf
SUMO2-Rhodamine 110,SBB-PS0029,163060029,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_113fced94e4a4048aba61212d735aa1f.pdf
"UBE2D1, human recombinant",SBB-CE0021,163060021,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_d5bef8218d8149ab875fff0ac8951d2a.pdf
"UBE2D2, human recombinant",SBB-CE0027,163060027,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_273ee9be110d43f4bb0d2be2a80b5dd6.pdf
"UBE2D3, human recombinant",SBB-CE0019,163060019,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_f95f332153a54f6f95553e0407b39f98.pdf
"UBE2L3, human recombinant",SBB-CE0020,163060020,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_696692de36ab40b29698485c198e7021.pdf
UBE3A-His₈ (E6AP),SBB-CE0090,232710090,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_0bc53c8962934b8d86e109b84133a2af.pdf
"Ubiquitin Activating Enzyme (UBA1), human recombinant (His-tagged)",SBB-CE0058,180770058,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_435fbb34739342f4859b3d349b3aceec.pdf
"Ubiquitin Activating Enzyme (UBA1), human recombinant",SBB-CE0011,163060011,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_045163be0c414f61845a1dca6199ee82.pdf
Ubiquitin Rhodamine 110,SBB-PS0001,163060001,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_733bd431b38842ee98e6746e961356f2.pdf
Ubiquitin-Aldehyde,SBB-PS0031,172440031,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_c511cc443d8b4d2aa368986127854e84.pdf
Ubiquitin-AMC,SBB-PS0043,172440043,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_52f058fc7fce48cab7c760915869c270.pdf
Ubiquitin-Propargylamide,SBB-PS0034,172440034,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_f107fe5717ae411bb8992e8de5de387e.pdf
Ubiquitin-Vinyl Methyl Ester,SBB-PS0033,172440033,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_698a946e34ca46f4b7563a8f03eae4bd.pdf
Ubiquitin-Vinyl Sulfone,SBB-PS0032,172440032,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_af137d3ad440463d81b8a41578d2e18e.pdf
"Ubiquitin, human recombinant",SBB-UP0013,163060013,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_0b228567fcfe4f02bed02a58cda836d1.pdf
"UCHL3, human recombinant",SBB-DE0023,163060023,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_c6a0ba21a33946e0aaa4aecf75963f77.pdf
XIAP E3 Ligase TR-FRET Kit,SBB-KF0057,173050057,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_2bd58e6a0bc044439df3c67db30e80a6.pdf
Z-Leu-Leu-Glu-AMC (Z-LLE-AMC),SBB-PS0006,163060006,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_db205498f08f406e915cbfce15d3e833.pdf
